10:55 12-Apr-2025
bin/admevolve --Courant 0.25 --Tfinal 11.0 --PrintCycle 10 --PrintTimeStep 11.0 --MaxTimeSteps 40000 --NumTasks 8 --OutputDir results --UseRendezvous --DataDir data
-----------------------------------------------------------------------------------
 loop    time       step        gxx        gzz        Kxx        Kzz       Ham.    
-----------------------------------------------------------------------------------
    0  1.000E+00  2.500E-02  1.000E+00  1.000E+00 -6.667E-01  3.333E-01  0.000E+00
   10  1.250E+00  2.500E-02  1.347E+00  8.618E-01 -7.181E-01  2.298E-01 -4.273E-09
   20  1.500E+00  2.500E-02  1.717E+00  7.631E-01 -7.631E-01  1.696E-01 -4.028E-09
   30  1.750E+00  2.500E-02  2.109E+00  6.886E-01 -8.034E-01  1.312E-01 -3.292E-09
   40  2.000E+00  2.500E-02  2.520E+00  6.300E-01 -8.399E-01  1.050E-01 -2.644E-09
   50  2.250E+00  2.500E-02  2.948E+00  5.824E-01 -8.736E-01  8.628E-02 -2.140E-09
   60  2.500E+00  2.500E-02  3.393E+00  5.429E-01 -9.048E-01  7.238E-02 -1.758E-09
   70  2.750E+00  2.500E-02  3.853E+00  5.095E-01 -9.340E-01  6.175E-02 -1.465E-09
   80  3.000E+00  2.500E-02  4.327E+00  4.807E-01 -9.615E-01  5.342E-02 -1.237E-09
   90  3.250E+00  2.500E-02  4.814E+00  4.558E-01 -9.875E-01  4.675E-02 -1.058E-09
  100  3.500E+00  2.500E-02  5.314E+00  4.338E-01 -1.012E+00  4.131E-02 -9.139E-10
  110  3.750E+00  2.500E-02  5.826E+00  4.143E-01 -1.036E+00  3.683E-02 -7.974E-10
  120  4.000E+00  2.500E-02  6.350E+00  3.969E-01 -1.058E+00  3.307E-02 -7.016E-10
  130  4.250E+00  2.500E-02  6.884E+00  3.811E-01 -1.080E+00  2.989E-02 -6.220E-10
  140  4.500E+00  2.500E-02  7.429E+00  3.669E-01 -1.101E+00  2.718E-02 -5.552E-10
  150  4.750E+00  2.500E-02  7.985E+00  3.539E-01 -1.121E+00  2.483E-02 -4.985E-10
  160  5.000E+00  2.500E-02  8.550E+00  3.420E-01 -1.140E+00  2.280E-02 -4.501E-10
  170  5.250E+00  2.500E-02  9.125E+00  3.311E-01 -1.159E+00  2.102E-02 -4.083E-10
  180  5.500E+00  2.500E-02  9.708E+00  3.209E-01 -1.177E+00  1.945E-02 -3.721E-10
  190  5.750E+00  2.500E-02  1.030E+01  3.116E-01 -1.194E+00  1.806E-02 -3.405E-10
  200  6.000E+00  2.500E-02  1.090E+01  3.029E-01 -1.211E+00  1.683E-02 -3.128E-10
  210  6.250E+00  2.500E-02  1.151E+01  2.947E-01 -1.228E+00  1.572E-02 -2.883E-10
  220  6.500E+00  2.500E-02  1.213E+01  2.871E-01 -1.244E+00  1.472E-02 -2.666E-10
  230  6.750E+00  2.500E-02  1.276E+01  2.800E-01 -1.260E+00  1.383E-02 -2.472E-10
  240  7.000E+00  2.500E-02  1.339E+01  2.733E-01 -1.275E+00  1.301E-02 -2.299E-10
  250  7.250E+00  2.500E-02  1.403E+01  2.670E-01 -1.290E+00  1.227E-02 -2.143E-10
  260  7.500E+00  2.500E-02  1.468E+01  2.610E-01 -1.305E+00  1.160E-02 -2.003E-10
  270  7.750E+00  2.500E-02  1.534E+01  2.553E-01 -1.319E+00  1.098E-02 -1.876E-10
  280  8.000E+00  2.500E-02  1.600E+01  2.500E-01 -1.333E+00  1.042E-02 -1.760E-10
  290  8.250E+00  2.500E-02  1.667E+01  2.449E-01 -1.347E+00  9.896E-03 -1.655E-10
  300  8.500E+00  2.500E-02  1.735E+01  2.401E-01 -1.361E+00  9.416E-03 -1.559E-10
  310  8.750E+00  2.500E-02  1.803E+01  2.355E-01 -1.374E+00  8.972E-03 -1.472E-10
  320  9.000E+00  2.500E-02  1.872E+01  2.311E-01 -1.387E+00  8.560E-03 -1.391E-10
  330  9.250E+00  2.500E-02  1.942E+01  2.269E-01 -1.399E+00  8.178E-03 -1.317E-10
  340  9.500E+00  2.500E-02  2.012E+01  2.229E-01 -1.412E+00  7.822E-03 -1.249E-10
  350  9.750E+00  2.500E-02  2.083E+01  2.191E-01 -1.424E+00  7.491E-03 -1.185E-10
  360  1.000E+01  2.500E-02  2.154E+01  2.154E-01 -1.436E+00  7.181E-03 -1.127E-10
  370  1.025E+01  2.500E-02  2.227E+01  2.119E-01 -1.448E+00  6.892E-03 -1.073E-10
  380  1.050E+01  2.500E-02  2.299E+01  2.085E-01 -1.460E+00  6.621E-03 -1.022E-10
  390  1.075E+01  2.500E-02  2.373E+01  2.053E-01 -1.471E+00  6.366E-03 -9.751E-11
  400  1.100E+01  2.500E-02  2.446E+01  2.022E-01 -1.483E+00  6.127E-03 -9.313E-11
-----------------------------------------------------------------------------------
> Elapsed time (secs)    :  5.505E-01
> Time per node per step :  2.688E-06
